ID Lokasi,Nama Daerah,Kabupaten/Kota,Provinsi,rata_rata_temp,rata_rata_humi
5008086,Sentolo,Kab. Kulon Progo,DI Yogyakarta,25.05128205128205,91.15384615384616
5008087,Sewon,Kab. Bantul,DI Yogyakarta,25.162393162393162,90.64102564102564
5008088,Seyegan,Kab. Sleman,DI Yogyakarta,24.982905982905983,90.01709401709402
5008090,Srandakan,Kab. Bantul,DI Yogyakarta,25.564102564102566,89.99145299145299
5008091,Tanjungsari,Kab. Gunung Kidul,DI Yogyakarta,25.05982905982906,90.82905982905983
5008092,Tegalrejo,Kota Yogyakarta,DI Yogyakarta,25.11111111111111,90.14529914529915
5008093,Temon,Kab. Kulon Progo,DI Yogyakarta,25.358974358974358,90.31623931623932
5008094,Tempel,Kab. Sleman,DI Yogyakarta,23.88034188034188,90.56410256410257
5008095,Tepus,Kab. Gunung Kidul,DI Yogyakarta,25.11965811965812,91.11965811965813
5008096,Turi,Kab. Sleman,DI Yogyakarta,23.615384615384617,90.76068376068376
5008097,Umbulharjo,Kota Yogyakarta,DI Yogyakarta,25.22222222222222,90.33333333333333
5008099,Wirobrajan,Kota Yogyakarta,DI Yogyakarta,25.23076923076923,90.36752136752136
5008100,Wonosari,Kab. Gunung Kidul,DI Yogyakarta,24.70940170940171,91.24786324786325
