LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.95,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,325.0191,Rendah,50 - 100 mm,50.1819
-7.95,110.7,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,334.8137,Rendah,50 - 100 mm,55.4642
-7.95,110.75,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,347.5765,Rendah,50 - 100 mm,54.5919
-7.95,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,296.8318,Rendah,50 - 100 mm,73.8691
-7.95,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,297.4634,Rendah,50 - 100 mm,66.6893
-7.9,110.3,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,295.5536,Rendah,20 - 50 mm,28.6498
-7.9,110.35,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,297.2101,Rendah,20 - 50 mm,22.1683
-7.9,110.4,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,304.2951,Rendah,20 - 50 mm,26.1449
-7.9,110.45,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,308.498,Rendah,20 - 50 mm,40.0686
-7.9,110.5,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,312.8042,Rendah,50 - 100 mm,52.4435
-7.9,110.55,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,317.6058,Rendah,50 - 100 mm,51.226
-7.9,110.6,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,323.2976,Rendah,20 - 50 mm,46.7434
-7.9,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,330.0478,Rendah,20 - 50 mm,48.7439
-7.9,110.7,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,336.7811,Rendah,50 - 100 mm,51.0122
-7.9,110.75,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,349.0378,Rendah,50 - 100 mm,54.9441
-7.9,110.05,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,285.7548,Rendah,50 - 100 mm,52.2933
-7.9,110.1,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,291.3483,Rendah,50 - 100 mm,65.7849
-7.9,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,294.4348,Rendah,50 - 100 mm,70.461
-7.9,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,295.6802,Rendah,50 - 100 mm,54.7713
-7.9,110.25,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,295.8406,Rendah,20 - 50 mm,38.7919
-7.85,110.25,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,294.4678,Rendah,20 - 50 mm,27.8749
-7.85,110.3,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,294.5493,Rendah,20 - 50 mm,30.3019
-7.85,110.35,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,297.8126,Rendah,20 - 50 mm,36.0986
-7.85,110.4,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,306.1098,Rendah,20 - 50 mm,35.4318
-7.85,110.45,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,311.5855,Rendah,20 - 50 mm,47.416
-7.85,110.5,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,317.3627,Rendah,50 - 100 mm,56.9972
-7.85,110.55,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,323.286,Rendah,50 - 100 mm,51.5203
-7.85,110.6,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,328.9602,Rendah,50 - 100 mm,50.1346
-7.85,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,332.8144,Rendah,20 - 50 mm,47.0712
-7.85,110.7,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,339.7815,Rendah,20 - 50 mm,48.3209
-7.85,110.75,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,356.411,Rendah,50 - 100 mm,53.6068
-7.85,110.05,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,283.6957,Rendah,20 - 50 mm,44.3696
-7.85,110.1,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,289.5878,Rendah,50 - 100 mm,57.5299
-7.85,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,293.0917,Rendah,50 - 100 mm,54.763
-7.85,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,294.6248,Rendah,20 - 50 mm,38.8843
-7.8,110.4,> 200%,AGT,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,307.5825,Rendah,20 - 50 mm,40.9938
-7.8,110.55,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,327.0003,Rendah,50 - 100 mm,57.0532
-7.8,110.6,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,330.2129,Rendah,50 - 100 mm,52.2802
-7.8,110.65,> 200%,AGT,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,334.8151,Rendah,20 - 50 mm,45.3253
-7.8,110.35,> 200%,AGT,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Atas Normal,298.2449,Rendah,20 - 50 mm,34.5896
-7.8,110.1,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,287.3536,Rendah,20 - 50 mm,49.5486
-7.8,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,290.9277,Rendah,20 - 50 mm,44.4986
-7.8,110.2,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,292.023,Rendah,20 - 50 mm,31.9248
-7.8,110.25,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,292.1649,Rendah,20 - 50 mm,26.4454
