LAT,LON,KelasSH_feb,Bulan_feb,Id Prov,KategoriSH_feb,SH_feb,KelasCH_feb,KategoriCH_feb,CH_feb,KelasSH_des,Bulan_des,KategoriSH_des,SH_des,KategoriCH_des,KelasCH_des,CH_des,KelasSH_jan,Bulan_jan,KategoriSH_jan,SH_jan,CH_jan,KelasCH_jan,KategoriCH_jan,rainfall,Sifat_Hujan_Rata,temperature,humidity,predicted_usable
-8.0,110.3,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.1438,300 - 400 mm,Tinggi,395.0949,115% - 150%,DES,Atas Normal,130.4926,Sangat Tinggi,> 500 mm,563.3731,85% - 115%,JAN,Normal,102.6618,446.8851,400 - 500 mm,Tinggi,468.4510333333333,112.76606666666667,25.224137931034484,90.80172413793105,pepaya
-7.95,110.25,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.8924,400 - 500 mm,Tinggi,410.1895,115% - 150%,DES,Atas Normal,129.8738,Sangat Tinggi,> 500 mm,595.8384,85% - 115%,JAN,Normal,104.0342,465.8529,400 - 500 mm,Tinggi,490.6269333333333,112.93346666666666,25.224137931034484,90.80172413793105,pepaya
-7.95,110.3,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.6878,400 - 500 mm,Tinggi,408.8662,115% - 150%,DES,Atas Normal,127.5925,Sangat Tinggi,> 500 mm,550.6705,85% - 115%,JAN,Normal,102.9975,450.7544,400 - 500 mm,Tinggi,470.0970333333333,111.75926666666668,25.224137931034484,90.80172413793105,pepaya
-7.95,110.35,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.4716,300 - 400 mm,Tinggi,355.0301,115% - 150%,DES,Atas Normal,125.2876,Tinggi,400 - 500 mm,459.7866,85% - 115%,JAN,Normal,101.2775,385.6916,300 - 400 mm,Tinggi,400.1694333333333,109.6789,25.224137931034484,90.80172413793105,pepaya
-7.95,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,101.3651,300 - 400 mm,Tinggi,336.5766,115% - 150%,DES,Atas Normal,123.635,Tinggi,400 - 500 mm,414.4442,85% - 115%,JAN,Normal,101.6938,355.2464,300 - 400 mm,Tinggi,368.75573333333335,108.89796666666666,25.224137931034484,90.80172413793105,pepaya
-7.9,110.3,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.1993,300 - 400 mm,Tinggi,379.3579,115% - 150%,DES,Atas Normal,125.7344,Tinggi,400 - 500 mm,463.8797,85% - 115%,JAN,Normal,104.4967,394.5085,300 - 400 mm,Tinggi,412.5820333333333,111.47679999999998,25.224137931034484,90.80172413793105,pepaya
-7.9,110.35,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.0268,300 - 400 mm,Tinggi,354.3063,115% - 150%,DES,Atas Normal,124.6364,Tinggi,400 - 500 mm,432.0745,85% - 115%,JAN,Normal,103.777,370.9776,300 - 400 mm,Tinggi,385.7861333333333,110.14673333333332,25.224137931034484,90.80172413793105,pepaya
-7.9,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.0303,300 - 400 mm,Tinggi,396.7062,115% - 150%,DES,Atas Normal,124.3235,Tinggi,400 - 500 mm,439.631,85% - 115%,JAN,Normal,105.574,382.4855,300 - 400 mm,Tinggi,406.2742333333333,111.30926666666666,25.224137931034484,90.80172413793105,pepaya
-7.9,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,106.8537,400 - 500 mm,Tinggi,420.2701,115% - 150%,DES,Atas Normal,123.4247,Tinggi,400 - 500 mm,427.8915,85% - 115%,JAN,Normal,106.0051,371.2217,300 - 400 mm,Tinggi,406.4611,112.0945,25.224137931034484,90.80172413793105,pepaya
-7.85,110.25,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.539,300 - 400 mm,Tinggi,349.0231,115% - 150%,DES,Atas Normal,123.4707,Tinggi,300 - 400 mm,363.3466,85% - 115%,JAN,Normal,106.8822,328.7229,300 - 400 mm,Tinggi,347.03086666666667,111.2973,25.224137931034484,90.80172413793105,pepaya
-7.85,110.3,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.8725,300 - 400 mm,Tinggi,387.0979,115% - 150%,DES,Atas Normal,125.1764,Tinggi,400 - 500 mm,406.7766,85% - 115%,JAN,Normal,106.7509,364.418,300 - 400 mm,Tinggi,386.0975,111.93326666666668,25.224137931034484,90.80172413793105,pepaya
-7.85,110.35,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.216,400 - 500 mm,Tinggi,403.0964,115% - 150%,DES,Atas Normal,124.0316,Tinggi,400 - 500 mm,407.1528,85% - 115%,JAN,Normal,107.7624,370.9738,300 - 400 mm,Tinggi,393.741,112.33666666666666,25.224137931034484,90.80172413793105,pepaya
-7.85,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,106.5111,400 - 500 mm,Tinggi,419.588,115% - 150%,DES,Atas Normal,122.6911,Tinggi,400 - 500 mm,421.0803,85% - 115%,JAN,Normal,108.083,369.7287,300 - 400 mm,Tinggi,403.46566666666666,112.4284,25.224137931034484,90.80172413793105,pepaya
-7.85,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,108.8,400 - 500 mm,Tinggi,414.054,115% - 150%,DES,Atas Normal,122.5605,Tinggi,400 - 500 mm,416.3821,85% - 115%,JAN,Normal,109.2822,371.1814,300 - 400 mm,Tinggi,400.5391666666666,113.54756666666668,25.224137931034484,90.80172413793105,pepaya
-7.8,110.4,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,108.5137,400 - 500 mm,Tinggi,413.1222,115% - 150%,DES,Atas Normal,120.1849,Tinggi,300 - 400 mm,393.2138,85% - 115%,JAN,Normal,111.2577,384.662,300 - 400 mm,Tinggi,396.99933333333337,113.31876666666666,25.224137931034484,90.80172413793105,pepaya
-7.95,110.15,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,100.0841,200 - 300 mm,Menengah,277.8952,115% - 150%,DES,Atas Normal,133.2739,Tinggi,400 - 500 mm,460.894,85% - 115%,JAN,Normal,103.9675,321.3659,300 - 400 mm,Tinggi,353.3850333333333,112.44183333333336,24.97435897435897,91.55555555555556,pepaya
-7.95,110.2,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,102.4235,300 - 400 mm,Tinggi,328.3399,115% - 150%,DES,Atas Normal,131.3234,Sangat Tinggi,> 500 mm,502.4892,85% - 115%,JAN,Normal,103.8081,369.0882,300 - 400 mm,Tinggi,399.9724333333333,112.51833333333332,24.97435897435897,91.55555555555556,pepaya
-7.9,110.05,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,98.4958,200 - 300 mm,Menengah,271.4256,115% - 150%,DES,Atas Normal,134.826,Tinggi,400 - 500 mm,479.4457,85% - 115%,JAN,Normal,105.2872,364.6745,300 - 400 mm,Tinggi,371.8486,112.86966666666666,24.97435897435897,91.55555555555556,pepaya
-7.9,110.1,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,98.7781,200 - 300 mm,Menengah,274.7845,115% - 150%,DES,Atas Normal,131.8757,Tinggi,400 - 500 mm,464.6276,85% - 115%,JAN,Normal,105.315,347.2378,300 - 400 mm,Tinggi,362.2166333333333,111.9896,24.97435897435897,91.55555555555556,pepaya
-7.9,110.15,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,100.0149,200 - 300 mm,Menengah,283.8659,115% - 150%,DES,Atas Normal,128.8305,Tinggi,400 - 500 mm,432.608,85% - 115%,JAN,Normal,104.6907,319.9843,300 - 400 mm,Tinggi,345.48606666666666,111.1787,24.97435897435897,91.55555555555556,pepaya
