LAT,LON,KelasSH_bulan1,Bulan_bulan1,Id Kabkot,Id Prov,KategoriSH_bulan1,SH_bulan1,KelasCH_bulan1,KategoriCH_bulan1,CH_bulan1,KelasSH_bulan2,Bulan_bulan2,KategoriSH_bulan2,SH_bulan2,KategoriCH_bulan2,KelasCH_bulan2,CH_bulan2,KelasSH_bulan3,Bulan_bulan3,KategoriSH_bulan3,SH_bulan3,KategoriCH_bulan3,KelasCH_bulan3,CH_bulan3,rainfall,Sifat_Hujan_Rata,temperature,humidity,prediksi_awal,rekomendasi_final
-8.05,110.4,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.9005,50 - 100 mm,Rendah,71.4512,> 200%,JUL,Atas Normal,231.7731,Rendah,50 - 100 mm,71.2125,> 200%,AGT,Atas Normal,315.3695,Rendah,20 - 50 mm,27.4663,56.71,238.01436666666663,26.532258064516128,83.09677419354838,"[{'nama': 'Semangka', 'skor': '92%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '8%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '92%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '8%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.05,110.45,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,166.4311,50 - 100 mm,Rendah,76.4732,> 200%,JUL,Atas Normal,231.9995,Rendah,50 - 100 mm,77.0904,> 200%,AGT,Atas Normal,318.8223,Rendah,20 - 50 mm,27.7491,60.43756666666667,239.0843,26.29032258064516,83.61290322580645,"[{'nama': 'Semangka', 'skor': '90%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '10%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '90%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '10%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
-8.05,110.5,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,165.2619,50 - 100 mm,Rendah,84.9355,> 200%,JUL,Atas Normal,231.4711,Rendah,50 - 100 mm,75.7327,> 200%,AGT,Atas Normal,322.1351,Rendah,20 - 50 mm,32.5894,64.4192,239.6227,26.241935483870968,83.75806451612904,"[{'nama': 'Semangka', 'skor': '71%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '28%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '71%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '28%', 'kategori': 'cukup ideal'}]"
-8.05,110.55,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,164.0482,50 - 100 mm,Rendah,94.2485,> 200%,JUL,Atas Normal,230.7223,Rendah,50 - 100 mm,79.3809,> 200%,AGT,Atas Normal,325.4784,Rendah,20 - 50 mm,41.5156,71.715,240.0829666666667,26.06451612903226,83.87096774193549,"[{'nama': 'Kacang Hijau', 'skor': '88%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '7%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '88%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '7%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '3%', 'kategori': 'cukup ideal'}]"
-8.05,110.6,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.9377,100 - 150 mm,Menengah,114.8402,> 200%,JUL,Atas Normal,230.4383,Rendah,50 - 100 mm,88.1895,> 200%,AGT,Atas Normal,330.0631,Rendah,50 - 100 mm,61.4272,88.15230000000001,241.1463666666667,25.548387096774192,84.87096774193549,"[{'nama': 'Pisang', 'skor': '59%', 'kategori': 'cukup ideal'}, {'nama': 'Kacang Hijau', 'skor': '35%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '4%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '59%', 'kategori': 'cukup ideal'}, {'nama': 'Kacang Hijau', 'skor': '35%', 'kategori': 'cukup ideal'}]"
-8.05,110.65,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.1826,100 - 150 mm,Menengah,113.6632,> 200%,JUL,Atas Normal,231.2986,Rendah,50 - 100 mm,82.6861,> 200%,AGT,Atas Normal,336.9115,Rendah,50 - 100 mm,67.0855,87.8116,243.4642333333333,25.5,85.09677419354838,"[{'nama': 'Pisang', 'skor': '55%', 'kategori': 'cukup ideal'}, {'nama': 'Kacang Hijau', 'skor': '38%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '4%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '55%', 'kategori': 'cukup ideal'}, {'nama': 'Kacang Hijau', 'skor': '38%', 'kategori': 'cukup ideal'}]"
-8.05,110.7,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.0681,50 - 100 mm,Rendah,98.3049,> 200%,JUL,Atas Normal,234.0728,Rendah,50 - 100 mm,69.3013,> 200%,AGT,Atas Normal,347.2213,Rendah,50 - 100 mm,69.8729,79.1597,247.7874,25.40322580645161,85.46774193548387,"[{'nama': 'Kacang Hijau', 'skor': '80%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '12%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '6%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '80%', 'kategori': 'sangat ideal'}, {'nama': 'Pisang', 'skor': '12%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '6%', 'kategori': 'cukup ideal'}]"
-8.05,110.75,150% - 200%,JUN,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,162.9054,50 - 100 mm,Rendah,81.9581,> 200%,JUL,Atas Normal,239.6574,Rendah,50 - 100 mm,56.1098,> 200%,AGT,Atas Normal,362.5,Rendah,50 - 100 mm,65.4983,67.8554,255.0209333333333,25.274193548387096,86.01612903225806,"[{'nama': 'Semangka', 'skor': '79%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '20%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]","[{'nama': 'Padi', 'skor': '100%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '79%', 'kategori': 'sangat ideal'}, {'nama': 'Kacang Hijau', 'skor': '20%', 'kategori': 'cukup ideal'}]"
-8.0,110.25,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,154.245,50 - 100 mm,Rendah,79.9134,> 200%,JUL,Atas Normal,214.1484,Rendah,50 - 100 mm,64.1535,> 200%,AGT,Atas Normal,302.0209,Rendah,50 - 100 mm,56.4125,66.82646666666666,223.47143333333327,26.774193548387096,82.45161290322581,"[{'nama': 'Kacang Hijau', 'skor': '85%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '12%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]","[{'nama': 'Kacang Hijau', 'skor': '85%', 'kategori': 'sangat ideal'}, {'nama': 'Semangka', 'skor': '12%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '1%', 'kategori': 'cukup ideal'}]"
-8.0,110.3,150% - 200%,JUN,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,156.8938,50 - 100 mm,Rendah,75.9326,> 200%,JUL,Atas Normal,215.7073,Rendah,50 - 100 mm,65.0221,> 200%,AGT,Atas Normal,301.391,Rendah,20 - 50 mm,43.5912,61.5153,224.6640333333333,26.661290322580644,82.54838709677419,"[{'nama': 'Semangka', 'skor': '65%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '34%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]","[{'nama': 'Semangka', 'skor': '65%', 'kategori': 'mendekati ideal'}, {'nama': 'Kacang Hijau', 'skor': '34%', 'kategori': 'cukup ideal'}, {'nama': 'Cabai', 'skor': '0%', 'kategori': 'cukup ideal'}]"
